#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
25 , 0.01 , 44.36246 , 11.40002 , 25.69745 , -1.202174 
25 , 0.01 , 47.07755 , 10.1115 , 21.4784 , 1.567905 
25 , 0.01 , 46.06047 , 11.6022 , 25.18906 , 0.5288653 
25 , 0.01 , 45.90722 , 10.75604 , 23.42994 , 0.3693701 
25 , 0.01 , 44.40249 , 11.42365 , 25.72751 , -1.133723 
25 , 0.01 , 46.80924 , 12.71162 , 27.15622 , 1.33747 
25 , 0.01 , 44.73774 , 11.00403 , 24.59675 , -0.7764603 
50 , 0.01 , 44.53939 , 7.754511 , 17.41046 , -0.9767579 
50 , 0.01 , 47.34528 , 8.436242 , 17.81855 , 1.699776 
50 , 0.01 , 46.37109 , 7.622876 , 16.43885 , 0.78595 
50 , 0.01 , 44.64334 , 7.931176 , 17.76564 , -1.029021 
50 , 0.01 , 46.0758 , 7.696051 , 16.70302 , 0.6042266 
50 , 0.01 , 47.52269 , 8.588217 , 18.07182 , 2.112769 
50 , 0.01 , 46.8512 , 7.875097 , 16.80874 , 1.356439 
50 , 0.01 , 45.19955 , 8.412502 , 18.61191 , -0.3535339 
50 , 0.01 , 44.20619 , 7.145072 , 16.16306 , -1.335808 
50 , 0.01 , 45.02315 , 8.346701 , 18.53869 , -0.5141694 
100 , 0.01 , 46.1682 , 5.176076 , 11.21135 , 0.6420491 
100 , 0.01 , 44.76134 , 5.138467 , 11.4797 , -0.7769128 
100 , 0.01 , 45.18165 , 5.284652 , 11.69646 , -0.3923434 
100 , 0.01 , 46.60196 , 6.314256 , 13.54934 , 1.080588 
100 , 0.01 , 45.54719 , 5.806616 , 12.74857 , -0.09642423 
100 , 0.01 , 46.14952 , 6.216935 , 13.47129 , 0.5793618 
100 , 0.01 , 45.0668 , 6.1398 , 13.62378 , -0.4492438 
100 , 0.01 , 45.94322 , 6.716176 , 14.61843 , 0.3268123 
100 , 0.01 , 46.03628 , 5.317928 , 11.5516 , 0.4597335 
