#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.9 , 0 , 0.9571353 , 0.2548522 , 26.62656 , -45.15077 
0 , 0.01 , 45.95737 , 5.540875 , 12.05655 , 0.4078471 
0 , 0.01 , 46.56093 , 5.145129 , 11.05031 , 0.9751423 
0 , 0.01 , 45.09199 , 5.819429 , 12.90568 , -0.491404 
0 , 0.01 , 45.00297 , 6.028758 , 13.39636 , -0.5772247 
0 , 0.01 , 46.08643 , 5.977633 , 12.97048 , 0.529007 
0 , 0.01 , 44.92283 , 5.775536 , 12.85657 , -0.6380752 
0 , 0.01 , 46.04775 , 4.605989 , 10.00264 , 0.5801289 
0 , 0.01 , 46.21361 , 5.441512 , 11.7747 , 0.63011 
0 , 0.01 , 45.44938 , 5.769763 , 12.69492 , -0.1199173 
0 , 0.01 , 45.09499 , 5.771653 , 12.79888 , -0.3975249 
0.1 , 0.01 , 41.21108 , 4.75576 , 11.54 , -4.366488 
0.1 , 0.01 , 40.86892 , 5.168606 , 12.64679 , -4.72866 
0.1 , 0.01 , 40.87209 , 4.799752 , 11.74335 , -4.683115 
0.1 , 0.01 , 40.63778 , 5.910498 , 14.54434 , -4.939688 
0.1 , 0.01 , 41.09891 , 5.943039 , 14.46033 , -4.465645 
0.1 , 0.01 , 40.8572 , 6.070443 , 14.85771 , -4.728505 
0.1 , 0.01 , 41.90745 , 6.156536 , 14.69079 , -3.568226 
0.1 , 0.01 , 41.17226 , 5.205366 , 12.6429 , -4.265758 
0.1 , 0.01 , 40.50342 , 5.174683 , 12.77592 , -5.102065 
0.1 , 0.01 , 41.29365 , 5.595208 , 13.5498 , -4.27213 
0.2 , 0.01 , 35.83809 , 4.948192 , 13.80707 , -9.659944 
0.2 , 0.01 , 35.95548 , 5.009099 , 13.93139 , -9.572576 
0.2 , 0.01 , 35.17012 , 5.226203 , 14.85978 , -10.32698 
0.2 , 0.01 , 34.7841 , 4.802498 , 13.80659 , -10.7771 
0.2 , 0.01 , 36.007 , 4.736105 , 13.15329 , -9.674391 
0.2 , 0.01 , 35.65209 , 4.409744 , 12.36882 , -9.936782 
0.2 , 0.01 , 36.34007 , 4.976169 , 13.69334 , -9.176465 
0.2 , 0.01 , 35.85041 , 4.930835 , 13.75392 , -9.673867 
0.2 , 0.01 , 36.75719 , 4.780914 , 13.00675 , -8.831871 
0.2 , 0.01 , 35.75542 , 4.965117 , 13.88633 , -9.727604 
0.3 , 0.01 , 31.00013 , 4.560614 , 14.7116 , -14.64982 
0.3 , 0.01 , 30.85737 , 4.222813 , 13.68494 , -14.66785 
0.3 , 0.01 , 30.54217 , 4.205364 , 13.76904 , -14.91445 
0.3 , 0.01 , 29.6378 , 4.059509 , 13.69706 , -15.87283 
0.3 , 0.01 , 30.00323 , 4.529569 , 15.09694 , -15.47562 
0.3 , 0.01 , 30.8101 , 4.980687 , 16.16576 , -14.79005 
0.3 , 0.01 , 30.74448 , 3.860031 , 12.5552 , -14.76923 
0.3 , 0.01 , 30.55735 , 4.653036 , 15.22723 , -15.04317 
0.3 , 0.01 , 30.93342 , 3.613289 , 11.68086 , -14.71023 
0.3 , 0.01 , 30.61656 , 4.305158 , 14.06153 , -14.92558 
0.4 , 0.01 , 24.2874 , 3.699802 , 15.23343 , -21.40074 
0.4 , 0.01 , 24.59046 , 3.177043 , 12.91982 , -20.94182 
0.4 , 0.01 , 24.62214 , 4.281521 , 17.38891 , -20.87633 
0.4 , 0.01 , 25.21677 , 3.583272 , 14.20988 , -20.34854 
0.4 , 0.01 , 24.79276 , 3.433738 , 13.84976 , -20.7477 
0.4 , 0.01 , 24.75575 , 3.53734 , 14.28897 , -20.7606 
0.4 , 0.01 , 24.40949 , 3.778872 , 15.48116 , -21.17765 
0.4 , 0.01 , 25.10656 , 3.203349 , 12.75901 , -20.37077 
0.4 , 0.01 , 25.11447 , 3.274873 , 13.03978 , -20.39652 
0.4 , 0.01 , 24.60854 , 3.799133 , 15.43827 , -20.98709 
0.5 , 0.01 , 18.61317 , 2.912993 , 15.65018 , -26.91071 
0.5 , 0.01 , 18.88258 , 3.003583 , 15.90664 , -26.66056 
0.5 , 0.01 , 18.91082 , 2.916723 , 15.42357 , -26.58892 
0.5 , 0.01 , 18.69305 , 2.809565 , 15.03 , -26.90577 
0.5 , 0.01 , 18.14037 , 2.809868 , 15.48959 , -27.39384 
0.5 , 0.01 , 18.82131 , 2.852662 , 15.15656 , -26.64589 
0.5 , 0.01 , 19.44046 , 3.149701 , 16.20178 , -26.15848 
0.5 , 0.01 , 19.08857 , 2.702899 , 14.15977 , -26.28765 
0.5 , 0.01 , 18.68292 , 2.845919 , 15.23274 , -26.87287 
0.5 , 0.01 , 18.7079 , 3.37602 , 18.04596 , -26.80158 
0.6 , 0.01 , 12.76457 , 2.013696 , 15.77567 , -32.69462 
0.6 , 0.01 , 12.95739 , 2.105883 , 16.25237 , -32.74085 
0.6 , 0.01 , 12.93606 , 2.243002 , 17.33915 , -32.6013 
0.6 , 0.01 , 13.32074 , 2.188262 , 16.42748 , -32.11268 
0.6 , 0.01 , 13.07942 , 2.156257 , 16.48587 , -32.51648 
0.6 , 0.01 , 12.73362 , 2.01022 , 15.7867 , -32.79183 
0.6 , 0.01 , 13.07492 , 2.408026 , 18.41714 , -32.43379 
0.6 , 0.01 , 13.1368 , 2.13906 , 16.28296 , -32.33394 
0.6 , 0.01 , 13.05309 , 2.271686 , 17.40344 , -32.39178 
0.6 , 0.01 , 12.87439 , 1.953472 , 15.17331 , -32.7174 
0.7 , 0.01 , 7.714916 , 1.613163 , 20.90966 , -37.82855 
0.7 , 0.01 , 7.870399 , 1.47363 , 18.7237 , -37.60561 
0.7 , 0.01 , 7.859154 , 1.344645 , 17.10928 , -37.61953 
0.7 , 0.01 , 7.550537 , 1.486028 , 19.68109 , -37.87861 
0.7 , 0.01 , 7.813607 , 1.426336 , 18.25452 , -37.86658 
0.7 , 0.01 , 7.556052 , 1.442742 , 19.09386 , -37.94119 
0.7 , 0.01 , 8.073125 , 1.298827 , 16.08828 , -37.61909 
0.7 , 0.01 , 7.656648 , 1.449407 , 18.93005 , -37.92158 
0.7 , 0.01 , 7.717222 , 1.357544 , 17.5911 , -37.83148 
0.7 , 0.01 , 7.70497 , 1.443831 , 18.73896 , -37.88837 
0.8 , 0.01 , 3.547389 , 0.9015127 , 25.41341 , -42.0357 
0.8 , 0.01 , 3.710742 , 0.9681031 , 26.08921 , -41.8603 
0.8 , 0.01 , 3.556524 , 0.9382843 , 26.38206 , -42.06329 
0.8 , 0.01 , 3.434894 , 0.8838496 , 25.73149 , -42.01637 
0.8 , 0.01 , 3.507164 , 1.03458 , 29.49905 , -42.05124 
0.8 , 0.01 , 3.580217 , 0.8538974 , 23.85044 , -41.97318 
0.8 , 0.01 , 3.581818 , 0.8183967 , 22.84864 , -41.86555 
0.8 , 0.01 , 3.516284 , 0.8402337 , 23.8955 , -42.06667 
0.8 , 0.01 , 3.658815 , 0.9421286 , 25.74956 , -41.90981 
0.8 , 0.01 , 3.571443 , 0.9079156 , 25.42153 , -41.9072 
0.9 , 0.01 , 0.9357513 , 0.4149611 , 44.34524 , -44.55275 
0.9 , 0.01 , 1.036848 , 0.4576391 , 44.13755 , -44.63142 
0.9 , 0.01 , 1.038405 , 0.5411766 , 52.11614 , -44.53558 
0.9 , 0.01 , 1.057707 , 0.4706775 , 44.49982 , -44.50531 
0.9 , 0.01 , 0.8931244 , 0.465735 , 52.1467 , -44.61604 
0.9 , 0.01 , 0.9668782 , 0.444271 , 45.94901 , -44.57345 
0.9 , 0.01 , 1.000505 , 0.4305145 , 43.0297 , -44.64309 
